1,1,0.882000,0.057000,0.197000,0.070000,0.889000
1,2,0.860000,0.049000,0.196000,0.078000,0.865000
1,3,0.949000,0.051000,0.196000,0.068000,0.953000
1,4,0.860000,0.050000,0.195000,0.069000,0.865000
1,7,0.880000,0.050000,0.198000,0.069000,0.885000
1,10,0.885000,0.052000,0.194000,0.070000,0.889000
1,11,1.089000,0.053000,0.211000,0.069000,1.095000
1,13,0.948000,0.051000,0.195000,0.069000,0.953000
1,15,1.095000,0.050000,0.295000,0.065000,1.100000
1,19,0.952000,0.051000,0.244000,0.073000,0.958000
1,23,0.875000,0.052000,0.196000,0.069000,0.881000
1,25,0.865000,0.064000,0.195000,0.064000,0.869000
1,26,0.946000,0.051000,0.272000,0.068000,0.951000
1,27,0.886000,0.051000,0.216000,0.073000,0.891000
1,30,1.004000,0.055000,0.221000,0.079000,1.010000
2,1,0.603000,0.053500,0.171000,0.048500,1.221000
2,3,0.629000,0.045000,0.176500,0.051000,1.263000
2,5,0.632000,0.045000,0.183500,0.053500,1.271000
2,6,0.658500,0.045500,0.176500,0.051000,1.321000
2,8,0.807500,0.054500,0.207000,0.059500,1.623000
2,14,0.630000,0.044500,0.182000,0.049500,1.265000
2,15,0.674500,0.059000,0.207000,0.051500,1.354000
2,17,0.616000,0.044000,0.167000,0.050500,1.237000
2,18,0.627000,0.044500,0.179500,0.052000,1.259000
2,20,0.675000,0.045000,0.191000,0.051000,1.357000
2,21,0.597000,0.042000,0.165000,0.045500,1.199000
2,22,0.638500,0.045000,0.175000,0.052000,1.282000
2,27,0.668000,0.045000,0.211000,0.052000,1.341000
2,28,0.628000,0.044000,0.174000,0.047000,1.261000
2,30,0.627500,0.045000,0.175000,0.055000,1.261000
3,2,0.564000,0.047000,0.167667,0.042667,1.697000
3,3,0.554667,0.041333,0.160667,0.041333,1.668000
3,4,0.554000,0.042667,0.171667,0.044667,1.666000
3,6,0.557000,0.041333,0.167333,0.044000,1.676000
3,9,0.639667,0.044000,0.208000,0.047667,1.925000
3,13,0.549000,0.042000,0.166333,0.044000,1.652000
3,14,0.567000,0.069000,0.163333,0.043000,1.707000
3,15,0.559667,0.043333,0.169000,0.043000,1.684000
